Примечание. Доставка в другие регионы настраивается в личном кабинете.";"Срок курьерской доставки товара по региону магазина.
Если поле не используется, срок доставки должен быть настроен в личном кабинете.";"Возможность самовывоза из пунктов выдачи. Если оставить поле пустым, будет считаться, что самовывоз есть.
Условия самовывоза в деталях (регионы, тарифы, сроки и т. п.) настраиваются в личном кабинете.";По региону магазина. Можно указать в этом поле или настроить в личном кабинете.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.;Заполняется автоматически. По умолчанию применяется для всех ваших магазинов, если вы не назначите цену для конкретного магазина.
;;Pbs28v2d16mmsteeel;PBS-28B-2 D-16 mm steel, Кнопка (антивандальная)      ;610;784;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;610;784
;;PenaMontajProfAxton760ml;Пена монтажная профессиональная AXTON 760 мл всесезонная																;714;1250;1;VAT_20;;;;;;;;;;;;да;;;;;714;1250
;Неправильно указан вес товара:Вес товара не соответствует его габаритам — проверьте, правильно ли вы их указали;Penal;Пенал;350;576;;VAT_20;;2;;;;;;;;;;да;Есть;;Есть;;350;576
;;Perecodbncrca0532024;Переход штекер BNC- гнездо RCA (05-3202-4)   ;20;37;99;VAT_20;;25;;;Поставки будут;;;;;;;;;;;;20;37
;;Perexodnikgnezdof03044;"Переходник гнездо F - гнездо F ""БОЧКА"" без кольца (03-044) (05-4201-6)";19;32;0;VAT_20;;27;;;Поставки будут;;;;;;;;;;;;19;32
;;Perexodpoj5065;Переход пож. 50*65;548;710;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;548;710
;;Perexodpoj5080;Переход пож. 50*80;648;820;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;648;820
;;Petplusikizvehateli;PET Plus ИК-извещатель    ;479;630;;VAT_20;;2;;;;;;;;;;да;Есть;;Есть;;479;630
;;Pk16P;Вэрс-ПК-16П;9000;13750;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;11999;13750
;;Pk1tm01;Вэрс-ПК-1ТМ-01      ;2317;3500;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3047;4670
;;Pk2p;Вэрс-ПК-2П      ;5548;7016;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5548;7016
;;Pk4p;Вэрс-ПК-4П     ;9000;10785;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;9000;10785
;;Pk8p;Вэрс-ПК-8П       ;8000;11238;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;9000;11238
;;Pkimb779;"ПКИ-МБ ""Бекас"" ";330;486;1;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;330;486
;;Plakatktiz2l;"Плакат ""Пожарная безопасность"" к-т из 2л";110;270;1;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;110;275
;;Plakatpodeistviampersonalashool;"Плакат ""Инструкция по действиям персонала школы (детского дошколного учреждения) при угрозе и возник";70;93;4;VAT_20;;8;;;Поставки будут;;;;;;;;;;;;70;93
;;Plm22812;PLm2-2812 ;1954;3499;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;1954;3499
;;Plombaplastikgreen;Пломба пластиковая, номерная, 220мм, зеленая;10;16;0;VAT_20;;50;;;Поставки будут;;;;;;;;;;;;10;16
;;Plombaplastikovaiayelloy;Пломба пластиковая, номерная, 220мм, желтая;10;19;35;VAT_20;;50;;;Поставки будут;;;;;;;;;;;;10;19
;;Plombaplastikred;Пломба пластиковая, номерная, 220мм, красная;10;17;37;VAT_20;;50;;;Поставки будут;;;;;;;;;;;;10;17
;;Plombarotornaiawait;Пломба роторная белая;12;29;0;VAT_20;;42;;;Поставки будут;;;;;;;;;;;;12;29
;;Ploshadka2020072021;Площадка самоклеющаяся 20 х 20мм (упак100шт) черная (07-2021);173;475;0;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;299;475
;;Ploshadka2525072025;Площадка самоклеющаяся 25 х 25мм (упак 100шт) (07-2025);120;270;0;VAT_20;;5;;;Поставки будут;;;;;;;;;;;;120;270
;;Ploshadkapodshlef3020;Площадка под шлейф металл 30 х 20 мм (упак 100шт) (07-2430);883;2350;6;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;883;2350
;;Polis11m;Полис-11М-01 ;3680;5200;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3680;5200
;;Polis13M;Полис-13М  ;4291;5037;0;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;4291;5037
;;Polis19;Полис-19 ;4292;5012;0;VAT_20;;;;;Поставки будут;;;;;;;да;Есть;;Есть;;4292;5012
;;PoluvisionPVNR9504E1;Polyvision PVNR-95-04E1;6899;11500;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6899;11500
;;PolyVisionartol;PolyVision PN20-M1-B3.6IRA (3,6);4199;8000;2;VAT_20;;;;;Поставок не будет;;;;;;;;;;;;;
;;PolyvisionPDM;Polyvision PDM1-A2-V12 v.9.5.6 (2.8-12);4599;6999;0;VAT_20;;;;;Поставок не будет;;;;;;;;;;;;;
;;PolyvisionPN;Polyvision PN-A1-B3.6 v.2.0.1 (3,6);1600;4500;1;VAT_20;;;;;Поставок не будет;;;;;;;;;;;;;
;;PolyvisionPNA2;Polyvision PN-A2-B3.6 v.2.5.4 (3.6);4699;7000;1;VAT_20;;;;;Поставок не будет;;;;;;;;;;;;;
;;PolyvisionPVCIP2XRF28MAWF;Polyvision PVC-IP2X-RF2.8MAWF;6190;11990;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6190;11990
;;PolyvisionPVCIP2YD1F2.8P;Polyvision PVC-IP2Y-D1F2.8P;5699;8690;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5699;8690
;;PolyvisionPVCIP2YDF1.9PF;Polyvision PVC-IP2Y-DF1.9PF;7630;13500;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7630;13500
;;PolyvisionPVCIP2YDF2.8P;Polyvision PVC-IP2Y-DF2.8P;8090;15499;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;8090;15499
;;PolyvisionPVCIP2YN1F2.8P;Polyvision PVC-IP2Y-N1F2.8P;5089;9990;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5089;9990
;;PolyvisionPVCIP2YNF2.8P;Polyvision PVC-IP2Y-NF2.8P;7399;13590;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7399;13590
;;PolyvisionPVCIP2xNF4P;Polyvision PVC-IP2x-NF4P;5999;11700;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5999;11700
;;PolyvisionPVCIP5XNF4P;Polyvision PVC-IP5X-NF4P;7999;13990;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7999;13990
;;PolyvisionPVCIP5XNV5P;Polyvision PVC-IP5X-NV5P;11999;19999;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;11999;19999
;;PolyvisionPVCIP5YD1F2.8P;Polyvision PVC-IP5Y-D1F2.8P;8999;15790;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;8999;15790
;;PolyvisionPVCIP5YDF2.8PA;Polyvision PVC-IP5Y-DF2.8PA;7699;12590;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7699;12590
;;PolyvisionPVCIP5YN1F2.8P;Polyvision PVC-IP5Y-N1F2.8P;7699;13290;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7699;13290
;;PolyvisionPVCIP5YNF2.8P;Polyvision PVC-IP5Y-NF2.8P;7399;13590;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;7399;13590
;;PolyvisionPVDR08HRrev.F;Polyvision PVDR-08HR2 rev.F;5999;9999;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5999;9999
;;PolyvisionPVDR8516Е1;Polyvision PVDR-85-16Е1;14999;20590;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;14999;20590
;;PolyvisionPVDRA204P1v.3.4.1;Polyvision PVDR-A2-04P1 v.3.4.1;14999;20990;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;14999;20990
;;PolyvisionPVDRA208P1v.2.4.1;Polyvision PVDR-A2-08P1 v.2.4.1;9481;15990;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;9481;15990
;;PolyvisionPVNR8510F1;Polyvision PVNR-85-10F1;10249;18990;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;10249;18990
;;PolyvisionPVNR8516F1;Polyvision PVNR-85-16F1;8199;15690;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;8199;15690
;;PolyvisionPVNR9508E1;Polyvision PVNR-95-08E1;6799;11350;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6799;11350
;;Polyvisiondark;Polyvision PNL-A2-V50HL v.9.5.7 dark (5-50);8399;15000;2;VAT_20;;;;;Поставок не будет;;;;;;;;;;;;;
;;Povorot6060;Поворот 60х60 (ПВР-60х60);150;375;4;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;150;375
;;Povorot90;Поворот на 90 град для труб ПВХ, d=16мм;31;68;49;VAT_20;;17;;;Поставки будут;;;;;;;;;;;;31;68
;;Povorot90d20;Поворот на 90 град для труб ПВХ, d=20мм;38;72;49;VAT_20;;14;;;Поставки будут;;;;;;;;;;;;38;72
;;Pp-600; Пп-600;451;612;3;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;451;612
;;Praxispe2012l2812;Praxis PE-2012L (2,8-12) ;5050;7200;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;5050;7200
;;PrizmaC;Призма-С;2080;5200;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2300;5200
;;Protector01prdathikdvijen;Protector 01 PR датчик движения   ;1411;2999;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;1411;2999
;;ProtyjkaKabelnay10mD3.5mm(471010);Протяжка кабельная 10м, d=3,5 мм  (47-1010);917;1890;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;917;1890
;;ProtyjkaKabelnay20mD3.5mm(471020);Протяжка кабельная 20м, d=3,5мм (47-1020);1280;2350;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1446;2350
;;ProtyjkaKabelnay20md3mm(271120);Протяжка кабельная 20м, d=3мм (27-1120);600;1100;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;600;1100
;;ProtyjkaKabelnay30md3mm(271130);Протяжка кабельная 30м, d=3мм (27-1130);809;1890;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;809;1890
;;ProxyH;С2000-Proxy H ;9000;12000;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;9000;12000
;;PultProgrammirovaniyUniversalnuisUSB;Пульт программирования универсальный с USB;6000;10990;3;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6000;10990
;;PultUpravleniyDlyBRO;Пульт управления универсальный для БРО (экран ЖКИ, клавиатура,Touch Memory);6299;12000;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6299;12000
;;PupRStrelec;"ПУП-Р  ""Стрелец""";11999;21500;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;11999;21500
;;Pvb1;PVb-1 ;520;670;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;520;670
;;RCA14-0403;"Разъем штекер RCA ""Красный"" (14-0403) ";15;37;0;VAT_20;;33;;;Поставки будут;;;;;;;;;;;;15;37
;;RCA14-0409-4;Разъем штекер RCA под винт с колпачком (14-0409-4)   ;26;59;18;VAT_20;;19;;;Поставки будут;;;;;;;;;;;;26;59
Скрыт сотрудником Маркета:Товар привязан не к той карточке. Так получилось, потому что нам не хватает данных для привязки к корректной карточке. Пожалуйста, укажите в названии карточки товара количество и напишите в поддержку — мы вернём товар в продажу. При создании обращения в разделе «Поддержка» советуем выбрать тему «Каталог и создание карточек» → «Почему товары скрыты с витрины?».;;REXANT05-3076;Разъем штекер BNC с клеммной колодкой (05-3076) ;33;65;706;VAT_20;;12;;;Поставки будут;;;;;;;;;;;;40;65
;;RK308;Roiscok RK308 ;700;800;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;550;719
;;RM-05A;RM-05A микрофонная панель;30000;36000;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;24000;27800
;;RR1;Rr-1;2078;3250;8;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2078;3250
;;RS200TPRB;RS-200TP-RB;5649;7350;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5649;7350
;;RVI-IPC21-DNL;RVI-IPC21 DNL  ;6156;12000;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6156;12000
;;RVI/65/Mag/8.0/1;RVI-65 Magic (8.0)  ;3199;4300;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3199;4300
;;RVI/E/125/B;RVI-E125В (3,6)  ;2400;4800;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2400;4800
;;RVI/E25/B/Whi;RVi-E25В (3,6)  ;1200;2500;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1200;2500
;;RVI/IPC11/4/2;RVI-IPC11 (4.2);4725;9450;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;4725;9450
;;RVI/Whi/Bla/Pla;RVI-B15p;59;118;2;VAT_20;;9;;;Поставки будут;;;;;;;;;;;;59;118
;;RVi-H1/12;RVi-H1/12 кожух для камеры с кронштейном;1000;1990;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1000;1990
;;RVi-IPC22DN;RVi-IPC22DN;9072;18000;8;VAT_20;;;;;Поставки будут;;;;;;;;;;;;9072;18000
;;RVi129;RVi-129 (2.8-12);3999;4999;4;VAT_20;;;;;Поставки будут;;;;пн,вт,ср,чт,пт;;;;;;;;;
;;Rapan20p;РАПАН-20п;1286;2980;10;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1600;2980
;;Rapidvar2;Рапид вариант 2;699;937;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;699;937
;;Rastrybkoy1;Раструб к ОУ-1    ;31;57;20;VAT_20;;16;;;Поставки будут;;;;;;;;;;;;31;57
;;Rastrybkoy234;Раструб к ОУ-2,3,4 (без выкидной трубки)               ;45;67;1;VAT_20;;12;;;Поставки будут;;;;;;;;;;;;45;67
;;RaxemFrazemRG6(054003);Разъем F-разъем RG-6 (05-4003);10;17;25;VAT_20;;50;;;Поставки будут;;;;;;;;;;;;10;17
;;RazemFrazemRG59(0540024);Разъем F-разъем RG-59(05-4002-4);9;15;0;VAT_20;;55;;;Поставки будут;;;;;;;;;;;;9;15
;;RazemGnezdoBNCsKlemmnoiKolodkoi(053081);Разъем гнездо BNC с клеммной колодкой (05-3081);60;99;159;VAT_20;;8;;;Поставки будут;;;;;;;;;;;;60;99
;;RazemPitaniy2.1x5,5x10mmSprovodom20sm(140313);Разъем питания штекер 2,1х5,5х10 мм с проводами 20см (14-0313);22;49;0;VAT_20;;23;;;Поставки будут;;;;;;;;;;;;22;49
;;RazemPitaniyShtekerSklemnoiKolodkoi(140314);Разъем питания штекер с  клеммной колодкой (14-0314);40;89;782;VAT_20;;13;;;Поставки будут;;;;;;;;;;;;40;89
;;RazemShtekerPodVintSprujinoiMetall(053073);Разъем штекер BNC под винт с пружиной, металл (05-3073);29;55;457;VAT_20;;17;;;Поставки будут;;;;;;;;;;;;29;55
;;Razempitaniia1403141;Разъем питания штекер с быстрозажимной колодкой (14-0314-1);59;168;31;VAT_20;;8;;;Поставки будут;;;;;;;;;;;;59;168
;;RazvetvitelPitaniyNa9razemov(140317);Разветвитель питания на 9 разъемов (14-0317);220;550;2;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;220;550
;;Reflextexecomkronhtein;Reflex (Texecom) кронштейн ;504;699;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;504;699
;;Registor470kom;Резистор 470 кОм (CF-100 (С1-4) 1 Вт, 470 кОм, 5%, Резистор углеродистый)      ;6;14;0;VAT_20;;84;;;Поставки будут;;;;;;;;;;;;6;12
;;Relepromej230V;Реле промежуточное 230В переменного тока 3пк 10А CR-M с индикатором без розетки CR-M230AC3L     ;850;1032;5;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;850;1032
;;RespiratorIstok300RPG67;Респиратор ИСТОК-300 РПГ-67																;544;890;;;;;;;;;;;;;;да;Есть;;Есть;;544;890
;;Rexant140413;Разъем штекер RCA с клеммной колодкой (14-0413) ;40;76;261;VAT_20;;12;;;Поставки будут;;;;;;;;;;;;40;76
;;Rezistor523om;Резистор 52,3 Ом (CF-25 (С1-4) 0.25 Вт, 1 Ом, 5%, Резистор углеродистый)     ;5;11;0;VAT_20;;100;;;Поставки будут;;;;;;;;;;;;5;8
;;Rezistormlt0125;Резистор МЛТ-0,125Вт, номинал сопротивления 2,2кОм     ;6;13;15;VAT_20;;84;;;Поставки будут;;;;;;;;;;;;6;13
;;Rfidemrw;Брелок RFID EM RW-Yellow (болванка);50;130;0;VAT_20;;10;;;Поставки будут;;;;;;;;;;;;50;130
;;Rigiio10242strelez;"РИГ-И (ИО 102-42) ""Стрелец-Интеграл""";2103;3600;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;2103;3600
;;Rimrpdk;Астра-РИ-М рпдк ;1992;3470;0;VAT_20;;;;;;;;;;;;;;;;;1922;3470
;;Ritmbpa12v5a;Ритм БРП 12V 5А под АКБ 1,2 А/ч    ;5400;7028;5;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;5400;7028
;;Ritmgsm9n;Ритм Контакт GSM-9 (версия 2);6999;8470;10;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;6999;8470
;;Riykzak;Рюкзак;800;1400;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;800;1400
;;Roiscok5687;Roiscok iDo602;2487;3954;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2487;3954
;;RostovDongorizontalnayPeremachkaGP251000HROM;Ростов-Дон горизонтальная перемычка ГП 25/1000 (хром);1552;3950;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1552;3950
;;RouterKeenetic4G;Роутер Keenetic 4G;4099;7350;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;4099;7350
;;RouterKeeneticHero4G;Роутер Keenetic Hero 4G;10319;14890;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;10319;14890
;;RoxetkaNakladnayReoneSzazemlBelay;Розетка накладная Reone с заземлением белая																;77;125;1;VAT_20;;7;;;;;;;;;;да;Есть;;Есть;;77;125
;;RozetkaDvoinayNakladSCHNEIDERELECTRICZazeml;Розетка двойная накладная Schneider Electric Этюд с заземлением										;276;480;1;VAT_20;;2;;;;;;;;;;да;;;;;276;480
;;RozetkaKomputernay1RJ45CAT5e030121;Розетка компьютерная-1 RJ-45 CAT5e  (03-0121);129;350;1;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;140;350
;;RozetkaKomputernay2RJCAT5e030151;Розетка компьютерная-2 RJ-45 CAT5e  (03-0151);200;450;5;VAT_20;;3;;;Поставки будут;;;;;;;;;;;;200;450
;;RozetkaTelefonnayNakladnay26P4C2Porta030008;Розетка телефонная накладная-2 6Р-4С (2 порта)  (03-0008);120;350;3;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;120;350
;;RozetkaTelefonnayUniversalnayBelay030011;Розетка телефонная универсальная, белая  (03-0011);21;39;34;VAT_20;;17;;;Поставки будут;;;;;;;;;;;;30;99
;;RozetkaTelefonnayVnutrennyy26P4C2porta030010;Розетка телефонная внутренняя-2 6Р-4С (2 порта) (03-0010);120;350;9;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;120;350
;;Rs232com9;Преобразователь USB COM (RS-232(COM9));1407;2950;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;1407;2950
;;RukavPojar50mmClassicsGR50AP;"Рукав пож. 50 мм ""Классик"" с ГР-50АП";2200;4590;7;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2200;4590
;;RukavPojarnuiRPMD5016IMUHL1LateksirGR50A;"Рукав пожарный РПМ(Д)-50-1,6-ИМ-УХЛ1 ""Латексированный""сГР50А";12000;19990;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;12000;19990
;;RukavUVP1Vnutrikv19mmVSumkeStvolShtutcerRukavPVH;Рукав УВП-1 внутрикв. 19мм (ствол, штутцер, рукав без сумки) ПВХ;200;450;0;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;200;450
;;RukavUVP1vnutrika19mmstvolShtutcerRukavbezsumkiPVH;Рукав УПВ-1 внутрикв. 19 мм в сумке;180;550;0;VAT_20;;;;;;;;;;;;да;;;;;180;550
;;RuletkaProfi10mm25mmProrezinennuiKorpus129007;"Рулетка ""Профи"" 10м*25мм прорезиненный корпус (12-9007)";410;820;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;430;820
;;RuletkaProfi3m16mmProrezinennuiKorpus129004;"Рулетка ""Профи"" 3м*16мм прорезиненный корпус (12-9004)";120;334;2;VAT_20;;4;;;Поставки будут;;;;;;;;;;;;120;334
;;RuletkaProfi5m25mmProrezinennuiKorpus129006;"Рулетка ""Профи"" 5м*25мм прорезиненный корпус (12-9006)";300;580;2;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;300;580
;;Rvi380;Rvi-380 ;819;1980;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;819;1980
;;Rviipc31dnl2812;RVI-iPc31 DNL (2.8-12)     ;6880;8470;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;6880;8470
;;Rviipc32ms28;RVI-iPc32МS (2.8)    ;2960;4799;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;2960;4799
;;Rviipc32s36;RVI-iPc32 S (3.6)      ;3136;4699;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;3136;4699
;;Rviipc33m60;RVI-iPc33 М (6.0)     ;4234;5999;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;4234;5999
;;Rvir08lanew;RVI-r08La NEW          ;4627;6150;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;4627;6150
;;Rvivd1black;RVI-VD1 mini ЧЕРНЫЙ    ;1273;2788;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;1273;2788
;;Rypordb;Рупор-ДБ ;9999;12999;3;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;9999;12999
;;Ryporsniat;Рупор снят ;10000;13700;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;10000;13700
;;S2000PT;С2000-Пт;14450;17000;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;14000;17000
;;S2000RPI;С2000-Рпи;11214;15000;4;VAT_20;;;;;Поставки будут;;;;;;;;;;;;11214;15000
;;S2000SMKAstet;С2000-СМК Эстет ;2060;3999;7;VAT_20;;;;;Поставки будут;;;;;;;;;;;;2030;3999
;;S2000SMKisp01IP68;С2000-СМК исп. 01 (IP68);927;1890;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1400;1890
;;S2000SP1;С2000-Сп1;6000;7999;63;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6000;7999
;;S2000SP101;С2000-Сп1-01;6894;8000;6;VAT_20;;;;;Поставки будут;;;;;;;;;;;;6894;8000
;;S2000SP2;С2000-Сп2;1894;3200;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;1894;3200
;;S2000SP2isp02;С2000-СП2 исп. 02 ;5046;6000;11;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5045;6000
;;S2000SP4220;С2000-Сп4/220;3753;5800;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3573;5800
;;S2000Tisp01;С2000-Т исп. 01.;34000;40000;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;34000;40000
;;S410;Устройство переговорное S-410;10999;13600;14;VAT_20;;;;;Поставки будут;;;;;;;;;;;;;
;;Schituvatel2isp00;Считыватель-2 исп.00;605;1090;20;VAT_20;;;;;Поставки будут;;;;;;;;;;;;605;1090
;;Schituvatel2isp01;Считыватель-2 исп.01;598;1099;32;VAT_20;;;;;Поставки будут;;;;;;;;;;;;598;1099
;;SchituvatelCDTM01;Считыватель CD-TM01;230;400;0;VAT_20;;2;;;Поставки будут;;;;;;;;;;;;230;400
;;SchituvatelProxyKeyAV;Считыватель Proxy-KeyAV;4270;7400;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;4270;7400
;;SchituvatelProxyKeyMH;Считыватель Proxy-KeyMH;5010;8890;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5010;8890
;;SchituvatelProxyKeyMV;Считыватель Proxy-KeyMV;5009;8890;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5009;8890
;;Sedvr6304v;SeDVr-6304V    ;4193;5799;;VAT_20;;1;;;;;;;;;;да;Есть;;Есть;;4193;5799
;;Sh001zkshpk310nzkyneversal;Ш-001НЗК (ШПК-310НЗК) универсальный;2335;3860;0;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;2335;3860
;;Sherif1h3k;Шериф-1 Лайт НЗ-К;3036;4579;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3036;4579
;;ShetkapometallyVertextools245;Щетка по металлу Vertextools пластиковая ручка 245 мм																;161;312;1;VAT_20;;4;;;;;;;;;;да;Есть;;Есть;;161;312
;;Shkafpoj315nzk800650230;Шкаф пож. ШП-К-О 315НЗК(800х650х230) красный;3023;5017;1;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;3432;5017
;Некорректное значение в одном из полей:В поле «Длина в упаковке в сантиметрах» вы указали значение 4.7 — оно некорректно. Значение для категории «Микрофоны» должно быть в диапазоне 8 – 80.;Shorox21; Шорох-21 ;728;935;2;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;728;935
;;Shorox2io31351;Шорох-2 (ИО 313-5/1);1690;3690;7;VAT_20;;1;;;Поставки будут;;;;;;;;;;;;2132;3690
;;Shtekerbnc;Разъём штекер BNC под винт с пружиной металл ;30;45;;VAT_20;;;;;;;;;;;;;;;;;30;45
;;Shtekerrcapodpaiky;Разъем штекер RCA под пайку с пружиной;19;34;71;VAT_20;;26;;;Поставки будут;;;;;;;;;;;;19;34
;;Shvvp2075200m;ШВВП 2х0,75 (бухта 200м);4800;5900;0;VAT_20;;20;;;Поставки будут;;;;;;;;;;;;4800;5900
;;SignalPolys;Полюс GSM ПЦН;5000;6500;0;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5000;6500
;;Skat1200Disp2;СКАТ 1200Д (исп.02)  ;6496;16000;5;VAT_20;;;;;Поставки будут;;;;;;;;;;;;10630;16000
;;Skat1200M;Скат 1200М ;3536;5780;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3536;5780
;;Skat2400;СКАТ 2400  ;5992;8999;1;VAT_20;;;;;Поставки будут;;;;;;;;;;;;5992;8999
;;SkobaD19SMDdvuhlapkovay;Скоба D=19 СМД двухлапковая;5;8;;VAT_20;;100;;;Поставки будут;;;;;;;;;;;;5;8
;;SkotchLokIzolirovannuiK2;Скотч-лок изолированный (К2) (07-5402);6;10;0;VAT_20;;84;;;Поставки будут;;;;;;;;;;;;6;10
;;SkotchLokKZ075403;Скотч лок К3 (07-5403);10;19;191;VAT_20;;50;;;Поставки будут;;;;;;;;;;;;10;19
;;Skrebokdliakraski;Скребок для снятия краски, обоев и набела																;280;430;1;VAT_20;;2;;;;;;;;;;да;Есть;;Есть;;280;430
;;SoedinitelnayPlastinaDKS;Соединительная пластина ДКС;78;130;6;VAT_20;;7;;;Поставки будут;;;;;;;;;;;;78;130
;;Sokol2Io4141;Сокол-2 (ИО-414-1);3406;4990;2;VAT_20;;;;;Поставки будут;;;;;;;;;;;;3406;4990
